name,url,rate,director,type,country,year
黑客帝国 The Matrix,https://movie.douban.com/subject/1292052/,9.7,导演: 弗兰克·德拉邦特,类型: 犯罪 / 剧情,制片国家/地区: 美国,年份: 1994
盗梦空间 Inception,https://movie.douban.com/subject/1295124/,9.5,导演: 史蒂文·斯皮尔伯格,类型: 剧情 / 历史 / 战争,制片国家/地区: 美国,年份: 1993
千与千寻 千と千尋の神隠し,https://movie.douban.com/subject/1291841/,9.3,导演: 弗朗西斯·福特·科波拉,类型: 剧情 / 犯罪,制片国家/地区: 美国,年份: 1972
教父2 The Godfather: Part Ⅱ,https://movie.douban.com/subject/1292720/,9.5,导演: 罗伯特·泽米吉斯,类型: 剧情 / 爱情,制片国家/地区: 美国,年份: 1994
七宗罪 Se7en,https://movie.douban.com/subject/1295644/,9.4,导演: 吕克·贝松,类型: 剧情 / 动作 / 犯罪,制片国家/地区: 法国/美国,年份: 1994
阿甘正传 Forrest Gump,https://movie.douban.com/subject/1851857/,9.2,导演: 克里斯托弗·诺兰,类型: 剧情 / 动作 / 科幻 / 犯罪 / 惊悚,制片国家/地区: 美国/英国,年份: 2008
三傻大闹宝莱坞 3 Idiots,https://movie.douban.com/subject/1292063/,9.6,导演: 罗伯托·贝尼尼,类型: 剧情 / 喜剧 / 爱情 / 战争,制片国家/地区: 意大利,年份: 1997
天堂电影院 Nuovo Cinema Paradiso,https://movie.douban.com/subject/1293182/,9.4,导演: 西德尼·吕美特,类型: 剧情,制片国家/地区: 美国,年份: 1957
指环王3：王者无敌 The Lord of the Rings: The Return of the King,https://movie.douban.com/subject/3541415/,9.3,导演: 克里斯托弗·诺兰,类型: 剧情 / 科幻 / 悬疑 / 冒险,制片国家/地区: 美国/英国,年份: 2010
星际穿越 Interstellar,https://movie.douban.com/subject/1291561/,9.4,导演: 宫崎骏,类型: 剧情 / 动画 / 奇幻,制片国家/地区: 日本,年份: 2001
辛德勒的名单 Schindler's List,https://movie.douban.com/subject/1291552/,9.3,导演: 彼得·杰克逊,类型: 剧情 / 动作 / 奇幻 / 冒险,制片国家/地区: 美国/新西兰,年份: 2003
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,https://movie.douban.com/subject/1299131/,9.2,导演: 弗朗西斯·福特·科波拉,类型: 剧情 / 犯罪,制片国家/地区: 美国,年份: 1974
飞越疯人院 One Flew Over the Cuckoo's Nest,https://movie.douban.com/subject/1292000/,9.0,导演: 大卫·芬奇,类型: 剧情 / 动作 / 悬疑 / 惊悚,制片国家/地区: 美国/德国/意大利,年份: 1999
机器人总动员 WALL·E,https://movie.douban.com/subject/2131459/,9.3,导演: 安德鲁·斯坦顿,类型: 科幻 / 动画 / 冒险,制片国家/地区: 美国,年份: 2008
沉默的羔羊 The Silence of the Lambs,https://movie.douban.com/subject/1291832/,8.9,导演: 昆汀·塔伦蒂诺,类型: 剧情 / 喜剧 / 犯罪,制片国家/地区: 美国,年份: 1994
教父 The Godfather,https://movie.douban.com/subject/1291828/,9.2,导演: 朱塞佩·托纳多雷,类型: 剧情 / 爱情,制片国家/地区: 意大利/法国,年份: 1988
触不可及 Intouchables,https://movie.douban.com/subject/1889243/,9.3,导演: 克里斯托弗·诺兰,类型: 剧情 / 科幻 / 冒险,制片国家/地区: 美国/英国/加拿大,年份: 2014
低俗小说 Pulp Fiction,https://movie.douban.com/subject/6786002/,9.3,导演: 奥利维埃·纳卡什 / 埃里克·托莱达诺,类型: 剧情 / 喜剧,制片国家/地区: 法国,年份: 2011
蝙蝠侠：黑暗骑士 The Dark Knight,https://movie.douban.com/subject/1292224/,9.1,导演: 米洛斯·福尔曼,类型: 剧情,制片国家/地区: 美国,年份: 1975
这个杀手不太冷 Léon,https://movie.douban.com/subject/1291571/,9.1,导演: 彼得·杰克逊,类型: 剧情 / 动作 / 奇幻 / 冒险,制片国家/地区: 新西兰/美国,年份: 2001
十二怒汉 12 Angry Men,https://movie.douban.com/subject/1291572/,9.1,导演: 彼得·杰克逊,类型: 剧情 / 动作 / 奇幻 / 冒险,制片国家/地区: 美国/新西兰,年份: 2002
肖申克的救赎 The Shawshank Redemption,https://movie.douban.com/subject/1291843/,9.1,导演: 莉莉·沃卓斯基 / 拉娜·沃卓斯基,类型: 动作 / 科幻,制片国家/地区: 美国,年份: 1999
搏击俱乐部 Fight Club,https://movie.douban.com/subject/1292223/,8.8,导演: 大卫·芬奇,类型: 剧情 / 犯罪 / 悬疑 / 惊悚,制片国家/地区: 美国,年份: 1995
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,https://movie.douban.com/subject/3793023/,9.2,导演: 拉吉库马尔·希拉尼,类型: 剧情 / 喜剧 / 爱情 / 歌舞,制片国家/地区: 印度,年份: 2009
美丽人生 La vita è bella,https://movie.douban.com/subject/1293544/,8.9,导演: 乔纳森·戴米,类型: 剧情 / 犯罪 / 惊悚,制片国家/地区: 美国,年份: 1991
美国往事 Once Upon a Time in America,https://movie.douban.com/subject/1900841/,9.2,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克,类型: 剧情 / 悬疑,制片国家/地区: 德国,年份: 2006
天使爱美丽 Le fabuleux destin d'Amélie Poulain,https://movie.douban.com/subject/1296736/,9.2,导演: 罗曼·波兰斯基,类型: 剧情 / 传记 / 战争 / 音乐,制片国家/地区: 英国/法国/波兰/德国/美国,年份: 2002
狮子王 The Lion King,https://movie.douban.com/subject/1292849/,9.0,导演: 史蒂文·斯皮尔伯格,类型: 剧情 / 战争,制片国家/地区: 美国,年份: 1998
上帝之城 Cidade de Deus,https://movie.douban.com/subject/1296141/,9.6,导演: 比利·怀德,类型: 剧情 / 犯罪 / 悬疑,制片国家/地区: 美国,年份: 1957
龙猫 となりのトトロ,https://movie.douban.com/subject/1301753/,9.1,导演: 罗杰·阿勒斯 / 罗伯·明可夫,类型: 动画 / 冒险 / 歌舞,制片国家/地区: 美国,年份: 1994
忠犬八公的故事 Hachi: A Dog's Tale,https://movie.douban.com/subject/26387939/,9.0,导演: 涅提·蒂瓦里,类型: 剧情 / 传记 / 运动 / 家庭,制片国家/地区: 印度,年份: 2016
"黄金三镖客 Il buono, il brutto, il cattivo.",https://movie.douban.com/subject/1780330/,8.9,导演: 克里斯托弗·诺兰,类型: 剧情 / 悬疑 / 惊悚,制片国家/地区: 英国/美国,年份: 2006
乱世佳人 Gone with the Wind,https://movie.douban.com/subject/1294371/,9.3,导演: 查理·卓别林,类型: 剧情 / 喜剧 / 爱情,制片国家/地区: 美国,年份: 1936
摔跤吧！爸爸 Dangal,https://movie.douban.com/subject/1292262/,9.2,导演: 赛尔乔·莱昂内,类型: 犯罪 / 剧情,制片国家/地区: 美国/意大利,年份: 1984
致命魔术 The Prestige,https://movie.douban.com/subject/1292215/,8.7,导演: 让-皮埃尔·热内,类型: 剧情 / 喜剧 / 爱情,制片国家/地区: 法国/德国,年份: 2001
幽灵公主 もののけ姫,https://movie.douban.com/subject/1294639/,8.9,导演: 梅尔·吉布森,类型: 动作 / 传记 / 剧情 / 历史 / 战争,制片国家/地区: 美国,年份: 1995
萤火虫之墓 火垂るの墓,https://movie.douban.com/subject/1297359/,8.9,导演: 宫崎骏,类型: 动画 / 奇幻 / 冒险,制片国家/地区: 日本,年份: 1997
"两杆大烟枪 Lock, Stock and Two Smoking Barrels",https://movie.douban.com/subject/1401118/,9.2,导演: 赛尔乔·莱昂内,类型: 冒险 / 西部,制片国家/地区: 意大利/西班牙/西德,年份: 1966
七武士 七人の侍,https://movie.douban.com/subject/1292208/,9.0,导演: 费尔南多·梅里尔斯 / 卡迪亚·兰德,类型: 犯罪 / 剧情,制片国家/地区: 巴西/法国,年份: 2002
拯救大兵瑞恩 Saving Private Ryan,https://movie.douban.com/subject/1295399/,9.3,导演: 黑泽明,类型: 动作 / 冒险 / 剧情,制片国家/地区: 日本,年份: 1954
楚门的世界 The Truman Show,https://movie.douban.com/subject/1291560/,9.2,导演: 宫崎骏,类型: 动画 / 奇幻 / 冒险,制片国家/地区: 日本,年份: 1988
勇敢的心 Braveheart,https://movie.douban.com/subject/1292064/,9.3,导演: 彼得·威尔,类型: 剧情 / 科幻,制片国家/地区: 美国,年份: 1998
记忆碎片 Memento,https://movie.douban.com/subject/1300267/,9.3,导演: 维克多·弗莱明 / 乔治·库克 / 山姆·伍德,类型: 剧情 / 历史 / 爱情 / 战争,制片国家/地区: 美国,年份: 1939
非常嫌疑犯 The Usual Suspects,https://movie.douban.com/subject/2129039/,9.0,导演: 彼特·道格特 / 鲍勃·彼德森,类型: 剧情 / 喜剧 / 动画 / 冒险,制片国家/地区: 美国,年份: 2009
卡萨布兰卡 Casablanca,https://movie.douban.com/subject/3011091/,9.4,导演: 拉斯·霍尔斯道姆,类型: 剧情,制片国家/地区: 美国/英国,年份: 2009
控方证人 Witness for the Prosecution,https://movie.douban.com/subject/1293350/,9.1,导演: 盖·里奇,类型: 剧情 / 喜剧 / 犯罪,制片国家/地区: 英国,年份: 1998
摩登时代 Modern Times,https://movie.douban.com/subject/1304447/,8.7,导演: 克里斯托弗·诺兰,类型: 犯罪 / 剧情 / 悬疑 / 惊悚,制片国家/地区: 美国,年份: 2000
窃听风暴 Das Leben der Anderen,https://movie.douban.com/subject/1292214/,8.6,导演: 布莱恩·辛格,类型: 犯罪 / 悬疑 / 惊悚,制片国家/地区: 德国/美国,年份: 1995
钢琴家 The Pianist,https://movie.douban.com/subject/1296753/,8.7,导演: 迈克尔·柯蒂兹,类型: 剧情 / 爱情 / 战争,制片国家/地区: 美国,年份: 1942
飞屋环游记 Up,https://movie.douban.com/subject/1293318/,8.7,导演: 高畑勋,类型: 动画 / 剧情 / 战争,制片国家/地区: 日本,年份: 1988
一次别离 جدایی نادر از سیمین,https://movie.douban.com/subject/1308807/,9.1,导演: 宫崎骏,类型: 动画 / 奇幻 / 冒险,制片国家/地区: 日本,年份: 2004
寻梦环游记 Coco,https://movie.douban.com/subject/1293181/,9.0,导演: 阿尔弗雷德·希区柯克,类型: 悬疑 / 惊悚 / 恐怖,制片国家/地区: 美国,年份: 1960
驯龙高手 How to Train Your Dragon,https://movie.douban.com/subject/1291583/,9.1,导演: 宫崎骏,类型: 动画 / 奇幻 / 冒险,制片国家/地区: 日本,年份: 1986
卢旺达饭店 Hotel Rwanda,https://movie.douban.com/subject/1300374/,8.9,导演: 弗兰克·德拉邦特,类型: 犯罪 / 剧情 / 奇幻 / 悬疑,制片国家/地区: 美国,年份: 1999
城市之光 City Lights,https://movie.douban.com/subject/1306029/,9.0,导演: 朗·霍华德,类型: 传记 / 剧情,制片国家/地区: 美国,年份: 2001
终结者2：审判日 Terminator 2: Judgment Day,https://movie.douban.com/subject/1293908/,9.3,导演: 查理·卓别林,类型: 喜剧 / 剧情 / 爱情,制片国家/地区: 美国,年份: 1931
"怪兽电力公司 Monsters, Inc.",https://movie.douban.com/subject/1291844/,8.7,导演: 詹姆斯·卡梅隆,类型: 动作 / 科幻,制片国家/地区: 美国/法国,年份: 1991
惊魂记 Psycho,https://movie.douban.com/subject/1292270/,8.7,导演: 达伦·阿伦诺夫斯基,类型: 剧情,制片国家/地区: 美国,年份: 2000
无耻混蛋 Inglourious Basterds,https://movie.douban.com/subject/1291822/,8.9,导演: 特瑞·乔治,类型: 剧情 / 传记 / 历史 / 战争,制片国家/地区: 英国/南非/意大利/美国,年份: 2004
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,https://movie.douban.com/subject/1292233/,8.6,导演: 斯坦利·库布里克,类型: 犯罪 / 剧情 / 科幻,制片国家/地区: 英国/美国,年份: 1971
发条橙 A Clockwork Orange,https://movie.douban.com/subject/1291879/,8.8,导演: 黑泽明,类型: 剧情 / 犯罪 / 悬疑,制片国家/地区: 日本,年份: 1950
雨中曲 Singin' in the Rain,https://movie.douban.com/subject/1578507/,8.8,导演: 保罗·格林格拉斯,类型: 动作 / 悬疑 / 惊悚,制片国家/地区: 美国/德国,年份: 2007
玩具总动员3 Toy Story 3,https://movie.douban.com/subject/3395373/,8.8,导演: 克里斯托弗·诺兰,类型: 剧情 / 动作 / 科幻 / 犯罪 / 惊悚,制片国家/地区: 美国/英国,年份: 2012
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,https://movie.douban.com/subject/1858711/,8.9,导演: 李·昂克里奇,类型: 喜剧 / 动画 / 奇幻 / 冒险,制片国家/地区: 美国,年份: 2010
梦之安魂曲 Requiem for a Dream,https://movie.douban.com/subject/1298070/,8.8,导演: 戈尔·维宾斯基,类型: 动作 / 冒险 / 奇幻,制片国家/地区: 美国,年份: 2003
第六感 The Sixth Sense,https://movie.douban.com/subject/1291579/,8.7,导演: 彼特·道格特 / 大卫·西尔弗曼 / 李·昂克里奇,类型: 儿童 / 喜剧 / 动画 / 奇幻 / 冒险,制片国家/地区: 美国,年份: 2001
美丽心灵 A Beautiful Mind,https://movie.douban.com/subject/1438652/,8.6,导演: 昆汀·塔伦蒂诺,类型: 剧情 / 犯罪,制片国家/地区: 德国/美国,年份: 2009
谍影重重3 The Bourne Ultimatum,https://movie.douban.com/subject/1292062/,8.5,导演: 萨姆·门德斯,类型: 剧情 / 爱情 / 家庭,制片国家/地区: 美国,年份: 1999
被解救的姜戈 Django Unchained,https://movie.douban.com/subject/2353023/,8.7,导演: 迪恩·德布洛斯 / 克里斯·桑德斯,类型: 动画 / 奇幻 / 冒险,制片国家/地区: 美国,年份: 2010
罗生门 羅生門,https://movie.douban.com/subject/1293460/,9.1,导演: 斯坦利·多南 / 吉恩·凯利,类型: 喜剧 / 歌舞 / 爱情,制片国家/地区: 美国,年份: 1952
哈尔的移动城堡 ハウルの動く城,https://movie.douban.com/subject/1297630/,8.9,导演: M·奈特·沙马兰,类型: 剧情 / 悬疑 / 惊悚,制片国家/地区: 美国,年份: 1999
美国丽人 American Beauty,https://movie.douban.com/subject/6307447/,8.8,导演: 昆汀·塔伦蒂诺,类型: 剧情 / 动作 / 西部 / 冒险,制片国家/地区: 美国,年份: 2012
地球上的星星 Taare Zameen Par,https://movie.douban.com/subject/20495023/,9.1,导演: 李·昂克里奇 / 阿德里安·莫利纳,类型: 喜剧 / 动画 / 奇幻 / 音乐,制片国家/地区: 美国,年份: 2017
天空之城 天空の城ラピュタ,https://movie.douban.com/subject/2363506/,8.9,导演: 阿米尔·汗,类型: 剧情 / 儿童 / 家庭,制片国家/地区: 印度,年份: 2007
绿里奇迹 The Green Mile,https://movie.douban.com/subject/5964718/,8.7,导演: 阿斯哈·法哈蒂,类型: 剧情 / 家庭,制片国家/地区: 伊朗/法国,年份: 2011
狩猎 Jagten,https://movie.douban.com/subject/6985810/,9.1,导演: 托马斯·温特伯格,类型: 剧情,制片国家/地区: 丹麦/瑞典,年份: 2012
哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,https://movie.douban.com/subject/3217169/,8.9,导演: 加文·欧康诺,类型: 剧情 / 运动 / 家庭,制片国家/地区: 美国,年份: 2011
血战钢锯岭 Hacksaw Ridge,https://movie.douban.com/subject/26683290/,8.4,导演: 新海诚,类型: 剧情 / 爱情 / 动画,制片国家/地区: 日本,年份: 2016
心灵捕手 Good Will Hunting,https://movie.douban.com/subject/26325320/,8.7,导演: 梅尔·吉布森,类型: 剧情 / 传记 / 历史 / 战争,制片国家/地区: 澳大利亚/美国,年份: 2016
勇士 Warrior,https://movie.douban.com/subject/1292528/,8.5,导演: 丹尼·博伊尔,类型: 剧情 / 犯罪,制片国家/地区: 英国,年份: 1996
消失的爱人 Gone Girl,https://movie.douban.com/subject/25773932/,8.7,导演: 达米恩·查泽雷,类型: 剧情 / 音乐,制片国家/地区: 美国,年份: 2014
猫鼠游戏 Catch Me If You Can,https://movie.douban.com/subject/21318488/,8.7,导演: 大卫·芬奇,类型: 剧情 / 犯罪 / 悬疑 / 惊悚,制片国家/地区: 美国,年份: 2014
夺宝奇兵 Raiders of the Lost Ark,https://movie.douban.com/subject/1292656/,8.9,导演: 格斯·范·桑特,类型: 剧情,制片国家/地区: 美国,年份: 1997
爱在黎明破晓前 Before Sunrise,https://movie.douban.com/subject/1296339/,8.8,导演: 理查德·林克莱特,类型: 剧情 / 爱情,制片国家/地区: 美国/奥地利/瑞士,年份: 1995
